season,source_player_id,source_player_name,source_position,source_appearances,source_starts,source_minutes,expected_goals,expected_assists,goals,accurate_opposition_half_passes,forward_passes,recoveries,tackles_won,total_tackles,interceptions,total_clearances,aerial_duels,aerial_duels_won,total_shots,shots_on_target,total_touches_in_opposition_box,successful_dribbles,expected_goals_on_target_conceded,goals_conceded,saves_made,catches,punches,goalkeeper_smothers,gk_successful_distribution,gk_unsuccessful_distribution
2016-17,19057,Sebastian Larsson,Midfielder,21.0,17.0,1471.0,0.8327,2.4064,,310.0,212.0,110.0,26.0,37.0,12.0,32.0,27.0,14.0,10.0,3.0,12.0,3.0,28.0214,33.0,,,,,,
2016-17,19101,Dimitrios Konstantopoulos,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,19115,Curtis Davies,Defender,26.0,25.0,2137.0,0.8286,0.3087,,162.0,342.0,73.0,24.0,40.0,91.0,176.0,127.0,75.0,10.0,3.0,20.0,4.0,45.9735,53.0,,,,,,
2016-17,19151,Chris Brunt,Midfielder,31.0,27.0,2478.0,1.5448,3.8511,3.0,456.0,404.0,129.0,26.0,36.0,33.0,54.0,48.0,27.0,28.0,11.0,28.0,17.0,38.3543,37.0,,,,,,
2016-17,19159,Ashley Williams,Defender,36.0,35.0,3158.0,1.2361,1.731,1.0,390.0,744.0,178.0,42.0,53.0,57.0,286.0,144.0,82.0,12.0,6.0,30.0,2.0,40.8928,39.0,,,,,,1.0
2016-17,19188,Scott Dann,Defender,23.0,19.0,1744.0,1.3164,0.6501,3.0,141.0,274.0,93.0,10.0,17.0,32.0,102.0,120.0,68.0,18.0,10.0,43.0,2.0,30.7022,36.0,,,,,,
2016-17,19197,Jason Puncheon,Midfielder,36.0,35.0,3094.0,1.8999,4.7515,,799.0,507.0,255.0,59.0,73.0,37.0,36.0,40.0,26.0,31.0,11.0,59.0,38.0,43.5061,53.0,,,,,,
2016-17,19272,Gareth McAuley,Defender,36.0,36.0,3143.0,3.5566,0.3273,6.0,178.0,420.0,136.0,37.0,51.0,71.0,229.0,160.0,113.0,15.0,7.0,39.0,18.0,47.7202,45.0,,,,,,
2016-17,19419,Gary Cahill,Defender,37.0,36.0,3296.0,3.3954,0.5488,6.0,545.0,781.0,136.0,40.0,53.0,46.0,167.0,147.0,91.0,20.0,10.0,41.0,4.0,29.0941,29.0,,,,,,
2016-17,19524,Santi Cazorla,Midfielder,8.0,7.0,619.0,1.7894,1.105,2.0,391.0,170.0,44.0,2.0,10.0,7.0,3.0,5.0,,6.0,4.0,12.0,9.0,6.6285,5.0,,,,,,
2016-17,19568,Ibrahim Afellay,Midfielder,12.0,3.0,377.0,0.8084,0.2377,,110.0,30.0,35.0,2.0,3.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,9.0,4.8091,5.0,,,,,,
2016-17,19760,Fernando Llorente,Forward,33.0,28.0,2453.0,7.0875,2.4126,15.0,411.0,176.0,73.0,14.0,18.0,2.0,37.0,278.0,156.0,45.0,26.0,164.0,9.0,47.0762,51.0,,,,,,
2016-17,20037,Marc Pugh,Forward,21.0,16.0,1331.0,1.31,1.3877,2.0,264.0,134.0,55.0,13.0,22.0,12.0,21.0,38.0,21.0,13.0,6.0,51.0,31.0,24.2963,24.0,,,,,,
2016-17,20046,Stefano Okaka,Forward,19.0,10.0,954.0,2.6138,0.7254,4.0,123.0,68.0,40.0,9.0,12.0,1.0,10.0,93.0,40.0,21.0,12.0,62.0,23.0,14.7625,23.0,,,,,,
2016-17,20047,Jordan Rhodes,Forward,6.0,2.0,208.0,0.6613,0.0317,,14.0,8.0,2.0,1.0,1.0,,2.0,21.0,4.0,6.0,4.0,9.0,2.0,1.4667,2.0,,,,,,
2016-17,20066,Wayne Hennessey,Goalkeeper,29.0,29.0,2610.0,,0.2003,,294.0,753.0,242.0,,,,15.0,6.0,6.0,,,,,39.1492,46.0,83.0,46.0,6.0,4.0,223.0,137.0
2016-17,20145,Adrian Mariappa,Defender,7.0,6.0,561.0,0.1575,0.1001,,53.0,113.0,30.0,15.0,17.0,15.0,52.0,38.0,24.0,2.0,,5.0,1.0,8.0646,13.0,,,,,,
2016-17,20208,Charlie Adam,Midfielder,24.0,17.0,1495.0,2.8176,2.7193,1.0,381.0,374.0,110.0,15.0,19.0,21.0,24.0,49.0,33.0,28.0,11.0,17.0,12.0,17.2605,23.0,,,,,,
2016-17,20310,Willy Caballero,Goalkeeper,17.0,16.0,1451.0,,0.0045,,20.0,229.0,119.0,1.0,1.0,,15.0,5.0,5.0,,,,,12.3184,13.0,31.0,11.0,7.0,3.0,127.0,28.0
2016-17,20399,Antonio Barragán,Defender,26.0,26.0,2196.0,0.093,1.5117,,374.0,426.0,131.0,53.0,72.0,59.0,70.0,43.0,21.0,2.0,,17.0,16.0,32.5078,32.0,,,,,,
2016-17,20452,Shane Long,Forward,32.0,10.0,1248.0,5.3319,0.9382,3.0,168.0,46.0,41.0,10.0,12.0,5.0,14.0,109.0,45.0,35.0,15.0,82.0,6.0,20.1988,23.0,,,,,,
2016-17,20467,Theo Walcott,Forward,28.0,23.0,1925.0,8.4915,2.8004,10.0,324.0,167.0,89.0,25.0,36.0,13.0,13.0,60.0,21.0,50.0,29.0,133.0,41.0,27.746,26.0,,,,,,
2016-17,20487,Vito Mannone,Goalkeeper,9.0,9.0,810.0,,0.013,,44.0,203.0,104.0,,,1.0,7.0,2.0,1.0,,,,1.0,14.3898,19.0,41.0,11.0,2.0,2.0,61.0,36.0
2016-17,20658,Pablo Zabaleta,Defender,20.0,11.0,1059.0,0.6705,0.5145,1.0,291.0,193.0,54.0,25.0,41.0,24.0,41.0,39.0,23.0,4.0,2.0,13.0,8.0,11.7466,18.0,,,,,,
2016-17,20664,David Silva,Midfielder,34.0,31.0,2766.0,5.4173,10.0964,4.0,1376.0,629.0,184.0,33.0,44.0,16.0,21.0,48.0,16.0,36.0,17.0,178.0,46.0,26.7733,32.0,,,,,,
2016-17,20695,Antonio Valencia,Defender,28.0,27.0,2483.0,2.0105,3.7114,1.0,768.0,401.0,180.0,42.0,67.0,42.0,58.0,47.0,22.0,5.0,4.0,53.0,37.0,25.7115,20.0,,,,,,
2016-17,21083,Nathan Dyer,Midfielder,8.0,3.0,211.0,0.1039,0.246,,63.0,29.0,16.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,8.0,5.0,9.2068,11.0,,,,,,
2016-17,21123,Valon Behrami,Midfielder,27.0,26.0,2036.0,0.2125,0.3091,,291.0,256.0,120.0,55.0,73.0,33.0,22.0,34.0,20.0,6.0,,12.0,6.0,30.763,40.0,,,,,,
2016-17,21205,Tom Heaton,Goalkeeper,35.0,35.0,3150.0,,0.3809,,346.0,1069.0,357.0,,,1.0,14.0,7.0,6.0,,,,,49.733,48.0,141.0,26.0,11.0,11.0,249.0,185.0
2016-17,21246,Lewis Grabban,Forward,3.0,,57.0,0.0514,0.071,,7.0,5.0,5.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0328,2.0,,,,,,
2016-17,26719,Rene Gilmartin,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,26901,Kevin Mirallas,Midfielder,35.0,23.0,2080.0,3.7776,3.5115,4.0,478.0,175.0,95.0,13.0,18.0,7.0,11.0,55.0,17.0,42.0,24.0,95.0,49.0,28.3011,26.0,,,,,,
2016-17,26921,Arouna Koné,Forward,6.0,,72.0,0.1168,0.051,,22.0,4.0,5.0,,,,,2.0,1.0,3.0,2.0,3.0,2.0,3.7121,3.0,,,,,,
2016-17,27334,Mathieu Debuchy,Defender,1.0,1.0,16.0,,0.0081,,8.0,5.0,,,,1.0,,,,,,,,,,,,,,,
2016-17,27341,Yohan Cabaye,Midfielder,32.0,25.0,2132.0,3.929,2.621,4.0,458.0,344.0,146.0,37.0,60.0,72.0,21.0,20.0,8.0,27.0,11.0,45.0,13.0,33.0752,41.0,,,,,,
2016-17,27707,Darron Gibson,Midfielder,12.0,7.0,641.0,0.1564,0.2941,,159.0,144.0,58.0,11.0,13.0,14.0,18.0,11.0,7.0,5.0,,1.0,4.0,11.7715,12.0,,,,,,
2016-17,27789,Fernandinho,Midfielder,32.0,31.0,2754.0,2.6577,3.0998,2.0,1191.0,735.0,199.0,55.0,81.0,62.0,60.0,104.0,52.0,27.0,11.0,53.0,30.0,23.8225,26.0,,,,,,
2016-17,28244,George Boyd,Forward,36.0,33.0,2844.0,1.5704,1.4341,2.0,240.0,178.0,152.0,65.0,86.0,34.0,35.0,79.0,23.0,19.0,6.0,65.0,19.0,43.1812,45.0,,,,,,
2016-17,28448,Lee Cattermole,Midfielder,8.0,8.0,640.0,0.097,0.4009,,119.0,113.0,25.0,9.0,13.0,20.0,9.0,13.0,7.0,4.0,1.0,1.0,3.0,13.1827,13.0,,,,,,
2016-17,28468,Craig Gardner,Midfielder,9.0,2.0,213.0,0.1177,0.6735,,30.0,26.0,14.0,3.0,4.0,1.0,2.0,6.0,1.0,1.0,,1.0,1.0,5.7694,6.0,,,,,,
2016-17,28541,Fraizer Campbell,Forward,12.0,,154.0,0.7347,0.0451,1.0,24.0,9.0,2.0,1.0,3.0,,2.0,11.0,3.0,2.0,1.0,13.0,1.0,3.0516,4.0,,,,,,
2016-17,28554,Samir Nasri,Midfielder,1.0,,15.0,0.4735,0.0648,,7.0,4.0,,,,,,1.0,,2.0,1.0,4.0,1.0,,,,,,,,
2016-17,28593,Victor Anichebe,Forward,18.0,14.0,1216.0,2.39,1.3267,3.0,175.0,97.0,46.0,7.0,9.0,8.0,30.0,129.0,79.0,17.0,9.0,75.0,13.0,22.7372,21.0,,,,,,
2016-17,28654,Martin Olsson,Defender,15.0,14.0,1253.0,0.5924,0.4856,2.0,220.0,217.0,79.0,7.0,10.0,10.0,49.0,42.0,21.0,7.0,4.0,12.0,9.0,19.2418,18.0,,,,,,
2016-17,32259,Darren Randolph,Goalkeeper,22.0,22.0,1980.0,,0.0881,,197.0,556.0,190.0,,,1.0,13.0,5.0,5.0,,,,1.0,39.4963,39.0,64.0,24.0,6.0,11.0,159.0,92.0
2016-17,32318,Marc Wilson,Midfielder,4.0,3.0,255.0,0.0143,0.1429,,23.0,40.0,8.0,3.0,3.0,6.0,19.0,8.0,6.0,1.0,,2.0,3.0,4.549,7.0,,,,,,
2016-17,33148,Claudio Bravo,Goalkeeper,22.0,22.0,1969.0,,0.0141,,38.0,375.0,180.0,,,,18.0,6.0,5.0,,,,3.0,18.3081,26.0,33.0,11.0,10.0,,164.0,49.0
2016-17,33871,Ragnar Klavan,Defender,20.0,15.0,1408.0,0.29,0.4378,,223.0,320.0,86.0,18.0,25.0,14.0,92.0,71.0,38.0,3.0,2.0,12.0,6.0,15.5669,19.0,,,,,,
2016-17,37096,Lukasz Fabianski,Goalkeeper,37.0,37.0,3330.0,,0.0779,,267.0,738.0,328.0,1.0,3.0,1.0,20.0,15.0,15.0,,,,,67.0131,69.0,117.0,66.0,15.0,12.0,336.0,142.0
2016-17,37265,Alexis Sánchez,Forward,38.0,36.0,3223.0,17.5683,9.3953,24.0,1022.0,516.0,130.0,40.0,53.0,24.0,4.0,65.0,14.0,86.0,49.0,256.0,109.0,47.0532,41.0,,,,,,
2016-17,37339,Ahmed El Mohamady,Defender,33.0,28.0,2520.0,0.3065,1.5389,,529.0,533.0,186.0,34.0,42.0,48.0,91.0,97.0,59.0,7.0,2.0,21.0,11.0,48.6421,59.0,,,,,,
2016-17,37388,Marcin Wasilewski,Defender,1.0,1.0,90.0,,0.0018,,9.0,19.0,6.0,1.0,2.0,2.0,2.0,3.0,2.0,,,,,1.1722,2.0,,,,,,
2016-17,37402,Christian Fuchs,Defender,36.0,35.0,3103.0,1.4393,3.0772,2.0,531.0,700.0,205.0,79.0,96.0,71.0,143.0,130.0,69.0,17.0,6.0,13.0,13.0,49.2774,57.0,,,,,,
